Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Command>::max_size() const
  0.00      0.00     0.00       12     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00       10     0.00     0.00  Command::~Command()
  0.00      0.00     0.00       10     0.00     0.00  std::vector<Command, std::allocator<Command> >::operator[](unsigned int)
  0.00      0.00     0.00        9     0.00     0.00  Parser::getWord(std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&, std::string&)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::string>::new_allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::vector<Job, std::allocator<Job> >::size() const
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<std::string>::allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        9     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base()
  0.00      0.00     0.00        9     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector()
  0.00      0.00     0.00        8     0.00     0.00  Command::getParams()
  0.00      0.00     0.00        8     0.00     0.00  Command::Command(Command const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Command*, std::vector<Command, std::allocator<Command> > >::__normal_iterator(Command* const&)
  0.00      0.00     0.00        8     0.00     0.00  std::_Vector_base<Command, std::allocator<Command> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        8     0.00     0.00  std::vector<Command, std::allocator<Command> >::max_size() const
  0.00      0.00     0.00        8     0.00     0.00  Command* std::__uninitialized_copy<false>::uninitialized_copy<Command*, Command*>(Command*, Command*, Command*)
  0.00      0.00     0.00        8     0.00     0.00  Command* std::uninitialized_copy<Command*, Command*>(Command*, Command*, Command*)
  0.00      0.00     0.00        8     0.00     0.00  Command* std::__uninitialized_copy_a<Command*, Command*, Command>(Command*, Command*, Command*, std::allocator<Command>&)
  0.00      0.00     0.00        8     0.00     0.00  Command* std::__uninitialized_move_a<Command*, Command*, std::allocator<Command> >(Command*, Command*, Command*, std::allocator<Command>&)
  0.00      0.00     0.00        7     0.00     0.00  bool __gnu_cxx::operator!=<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      0.00     0.00        7     0.00     0.00  std::vector<Job, std::allocator<Job> >::operator[](unsigned int)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > >::__normal_iterator(Job* const&)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > >::base() const
  0.00      0.00     0.00        6     0.00     0.00  std::__miter_base<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, false>::__b(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        6     0.00     0.00  std::__niter_base<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, true>::__b(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        6     0.00     0.00  std::__niter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, true>::__b(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        5     0.00     0.00  Parser::trim(std::string&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator+(int const&) const
  0.00      0.00     0.00        5     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&)
  0.00      0.00     0.00        4     0.00     0.00  Parser::addCommand(std::vector<Command, std::allocator<Command> >&, std::vector<std::string, std::allocator<std::string> >&, std::string&, std::string&, bool&)
  0.00      0.00     0.00        4     0.00     0.00  Parser::parseLine(std::string&, std::vector<Command, std::allocator<Command> >&)
  0.00      0.00     0.00        4     0.00     0.00  Runner::runChain(std::string, std::vector<Command, std::allocator<Command> >&, IOHandler&, DirHandler&, JobsHandler&, bool)
  0.00      0.00     0.00        4     0.00     0.00  Command::Command(std::string&, std::vector<std::string, std::allocator<std::string> >&, std::string&, std::string&, bool)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<Command>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<Command>::construct(Command*, Command const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::string>::destroy(std::string*)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<Command*, std::vector<Command, std::allocator<Command> > >::difference_type __gnu_cxx::operator-<Command*, std::vector<Command, std::allocator<Command> > >(__gnu_cxx::__normal_iterator<Command*, std::vector<Command, std::allocator<Command> > > const&, __gnu_cxx::__normal_iterator<Command*, std::vector<Command, std::allocator<Command> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Command, std::allocator<Command> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::capacity() const
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<Command, std::allocator<Command> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Command, std::allocator<Command> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Command*, std::vector<Command, std::allocator<Command> > >, Command const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Command, std::allocator<Command> >::end()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Command, std::allocator<Command> >::begin()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<Command, std::allocator<Command> >::push_back(Command const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_erase_at_end(std::string*)
